path,category,git_state,bytes,sha256
apps/web/src/components/student/student-workspace.tsx,frontend-implementation,tracked,49806,9253b67fc42f3ca37168c2dee9b7937f155f9960348ec260de9ac1968d2e1ec4
apps/web/src/components/ui/alert.tsx,frontend-implementation,tracked,2048,126a26b401ab2cd3f3855551d012b5dca7a96b7d6984a921add3ce2d441af4b6
apps/web/src/components/ui/badge-variants.ts,frontend-implementation,tracked,1318,5724e5823b20d43061f330f13a3eb955414e90125a1722c61d810ebce64dcb64
apps/web/src/components/ui/badge.tsx,frontend-implementation,tracked,630,172ca4053a8a40c086e0a067edf8b43a8ad19414304cd0b633a8fb1bfb5e7d26
apps/web/src/components/ui/button-variants.ts,frontend-implementation,tracked,2637,49f28379faa630a5fa6850fab944d515aab1f3bf7abed4ba66b7cbfe1fd83d2b
apps/web/src/components/ui/button.tsx,frontend-implementation,tracked,758,ecc515be2e386ed92aeef793dcd4dd07549c74d2f627088595699b38f86f1413
apps/web/src/components/ui/card.tsx,frontend-implementation,tracked,2630,d8113cbf964f8d1aadf2649d2944d8bbc6e3cfd49d36746f76868cbc4dde3cfe
apps/web/src/components/ui/chat-container.tsx,frontend-implementation,tracked,1400,30906b749e0d36c6338fef9a6b8e6b64c46b21d425f0f1e87909b3a96280c636
apps/web/src/components/ui/checkbox.tsx,frontend-implementation,tracked,1386,fe464e891f08d990d5ed7973f22ddd130d3da9c446de476754f32a4182ce773d
apps/web/src/components/ui/collapsible.tsx,frontend-implementation,tracked,795,c6598e5584f4258b5d9fefadbc5ad6a66888ad58729f4b634a0bb2d9c513188b
apps/web/src/components/ui/prompt-input.tsx,frontend-implementation,tracked,5473,2213e42c60fcbfb703238e18303d5d6fc33975073883573b2fa85f51c52df4ef
apps/web/src/components/ui/prompt-suggestion.tsx,frontend-implementation,tracked,3070,c11c903699d670b1f87e8f53831ca261722c1a18e11c42d66603324c087569bc
apps/web/src/components/ui/textarea.tsx,frontend-implementation,tracked,712,bd43b94e6216be264735db6726baab89b6beb3f150544ff9d8b8f6db1ebc967a
apps/web/src/components/ui/tooltip.tsx,frontend-implementation,tracked,2097,81569280cdd3c9a60063b4391909922e08a8521fdbd1f2040589ef807be65833
apps/web/src/components/workspace/workspace-brand.tsx,frontend-implementation,tracked,625,bc60481d98a2c27ddae134ad16bfcee0bf57a1ca6fb244f7e1f8c605c8228d7f
apps/web/src/hooks/onboarding/session-state.test.ts,frontend-implementation,tracked,2003,5ab8f7e3df7240ad775dbc92c8685447868d19e23ca78c73a1a9a0d751c464c8
apps/web/src/hooks/onboarding/session-state.ts,frontend-implementation,tracked,3296,1d43b4c9d4489f53bad711554512dd0ad93594788ebad3876fcb172550762179
apps/web/src/hooks/use-auth-session.ts,frontend-implementation,tracked,2622,a45185b8ba752dada67ab16d8d23f8a2d08fc59ab77408918a66c326e3ab46dc
apps/web/src/hooks/use-onboarding-session.ts,frontend-implementation,tracked,10920,62d00b494af0e3524f1a0427783986eb38f66d814b2439aa8f8265fc76a06253
apps/web/src/hooks/use-student-workspace.ts,frontend-implementation,tracked,20481,4003f9210524e1880c7b5dca3dda06155ce5a57bbfe2ac6150752fc215e3c7e2
apps/web/src/index.css,frontend-implementation,tracked,5343,4c17fde56a6117452796fb1d4e27243d713bdd5d2d34b446417f35c3afb02962
apps/web/src/lib/api.test.ts,frontend-implementation,tracked,7927,9e31e7846583f4c0ee855ab16951e8a9cde02e31f124c77bf128a8c1b0db295e
apps/web/src/lib/api.ts,frontend-implementation,tracked,304,fd3759f25a23e12fcfb5817673ea9f7522c20ef56198ce1e1b07283f4718dbfe
apps/web/src/lib/api/auth.ts,frontend-implementation,tracked,1128,fefabfa5e7e63341801f1528407c46c1656ec5faf1ccda8c5b701c40c0736f23
apps/web/src/lib/api/client.ts,frontend-implementation,tracked,1760,fcd882ca239379d268ce64e9e843b05b0827bb1c7c09fd2b6855fd050f1f635a
apps/web/src/lib/api/onboarding.ts,frontend-implementation,tracked,4522,fb0d4c078831580faa4924929afc493f1e4ced3ee189a02740c3cfee978d3079
apps/web/src/lib/api/professor.test.ts,frontend-implementation,tracked,6248,ef9d0238263632363356d99147eb7e013597fd89a5bdd937526a43a64cad4d03
apps/web/src/lib/api/professor.ts,frontend-implementation,tracked,13762,7febeb7d05e40d23e54d0e2efa7f6655ec85ba00d27371b7a52b54c8e9b0c4e3
apps/web/src/lib/api/student.test.ts,frontend-implementation,tracked,5329,e1373944d70620a745a8350842159cfe17a6bd165f5b84fe3c5e85df41f90ba0
apps/web/src/lib/api/student.ts,frontend-implementation,tracked,6964,9fb0449b57a5952fdead0c02815f5f6b079670978226fc822bec25d5125cc88b
apps/web/src/lib/api/types.ts,frontend-implementation,tracked,17808,14064cfe12a95acd711ba4dd2e56cd8842a8aa800ced4d4b9e433c8802d0f158
apps/web/src/lib/onboarding/policy-drafts.test.ts,frontend-implementation,tracked,840,b585457b2aec82708036d7720e1791949b9619ca1274a2ac9ad6067e352e05e9
