directory,file_count,total_bytes,inventory_boundary
data/raw,24,24610359,aggregate-only; ignored local contents and filenames are not copied
data/interim,268,24397975,aggregate-only; ignored local contents and filenames are not copied
data/processed,794,13779806,aggregate-only; ignored local contents and filenames are not copied
data/external,2829,5137929524,aggregate-only; ignored local contents and filenames are not copied
experiments/runs,34,4703668,aggregate-only; ignored local contents and filenames are not copied
reports/generated,18788,14457986265,aggregate-only; ignored local contents and filenames are not copied
